D1,D2,D3,rX,rY,gX,gY
450,161,290,269.305,352.317757,224,418
434,140,299,272.47083330000004,329.6016355,250,408
418,118,307,274.6108333,308.0128505,260,388
403,99,315,275.3666667,287.8130841,260,370
386,69,323,276.8425,266.18107480000003,260,344
370,69,332,271.675,245.1635514,260,320
355,63,332,263.9325,232.45911209999997,258,302
343,61,339,261.28,217.1869159,256,282
332,61,345,258.5125,203.7184579,252,262
323,62,348,255.1275,194.40303740000002,250,240
321,60,344,253.88166669999998,193.7102804,246,218
