D1,D2,D3,rX,rY,gX,gY
432,115,294,279.1816667,331.0420561,264,270
442,132,285,275.1241667,347.33995330000005,266,294
451,150,275,268.695,363.271028,266,312
460,169,260,258.7383333,382.22429910000005,264,332
464,187,247,245.64583330000002,394.2418224,262,350
465,202,247,236.695,395.3271028,260,370
467,209,234,228.2425,404.80957939999996,256,386
466,219,222,215.7716667,410.1121495,250,396
469,224,213,211.155,417.9626168,240,408
474,224,215,215.7975,422.4707944,216,416
478,218,240,227.43333330000002,421.2523364,202,420
