D1,D2,D3,rX,rY,gX,gY
432,165,252,236.73833330000002,357.8317757,246,422
412,147,264,237.19166669999998,330.87850469999995,238,400
391,132,264,230.1141667,311.17873829999996,234,382
373,118,271,227.6083333,290.7383178,230,364
356,106,279,225.4275,271.1203271,228,346
339,99,289,222.7066667,250.68224300000003,224,324
322,100,302,219.4133333,228.57943930000002,220,302
309,100,312,217.69416669999998,211.82359810000003,216,284
301,101,321,218.04,199.46728969999998,212,264
294,104,327,216.7841667,190.0595794,210,242
291,106,329,215.715,186.4766355,206,224
