D1,D2,D3,rX,rY,gX,gY
428,142,268,258.0591667,340.9334112,239,353
427,138,270,254.6241667,341.8376168,227,359
426,152,255,240.5841667,350.0408879,195,365
424,170,243,219.4033333,362.2196262,181,363
422,179,217,207.9158333,367.0315421,165,361
417,187,207,196.0066667,367.0841121,153,357
410,195,197,182.7225,365.0408879,141,353
403,203,188,169.7858333,362.4404206,127,348
394,212,188,157.5833333,354.0607477,109,347
386,222,179,142.3975,350.6296729,93,349
378,234,168,125.0033333,347.9485981,79,355
