D1,D2,D3,rX,rY,gX,gY
345,56,320,252.9675,233.421729,258,176
348,78,310,244.53666669999998,243.2102804,250,192
354,78,298,241.9666667,256.6542056,246,206
361,90,285,236.4616667,271.3551402,246,218
367,102,285,236.26166669999998,276.4579439,242,230
377,117,264,227.37916669999998,298.61799069999995,238,244
387,131,255,224.06666669999998,313.0,234,258
397,144,255,224.6416667,322.1588785,230,272
407,154,249,223.855,335.0841121,228,284
413,160,246,223.5775,342.56658880000003,224,302
417,165,241,222.81916669999998,347.58995330000005,222,320
