D1,D2,D3,rX,rY,gX,gY
451,214,197,199.1883333,406.2803738,239,356
447,232,197,182.815,402.0841121,238,372
436,253,160,146.73833330000002,406.1682243,226,390
426,266,141,123.54416670000002,402.7792056,206,394
416,266,141,116.5275,392.942757,190,392
404,271,129,101.1525,385.23247660000004,170,390
391,270,122,91.9775,375.2114486,154,388
378,266,123,87.42416667,363.24649530000005,132,384
367,261,127,85.82,352.5046729,112,382
359,261,127,80.98,345.7196262,89,376
353,257,129,81.51583333,339.828271,86,366
