D1,D2,D3,rX,rY,gX,gY
381,218,184,143.0375,344.8843458,135,327
374,216,181,139.7775,339.1343458,131,307
364,213,180,135.4716667,330.9345794,127,291
349,208,181,130.3683333,318.0186916,125,277
332,202,185,126.0408333,302.7838785,125,264
316,194,185,122.6808333,290.671729,123,245
299,188,194,120.6308333,274.4731308,129,227
285,183,205,120.5666667,259.7943925,133,213
274,176,220,124.9433333,245.1635514,139,195
264,170,253,136.9275,220.6436916,141,183
255,165,268,142.3391667,206.057243,143,173
