D1,D2,D3,rX,rY,gX,gY
429,288,112,99.25416667,414.34696260000004,51,403
437,275,129,120.64,417.6542056,71,407
446,264,147,141.2841667,421.13434580000006,89,403
453,253,163,160.14,422.69158880000003,109,403
454,241,180,175.635,416.9392523,127,411
449,226,211,193.64833330000002,397.5046729,149,419
441,209,224,204.7525,382.58060750000004,167,417
430,192,231,210.7841667,367.6670561,181,415
419,178,231,211.635,356.75700930000005,199,405
411,167,236,214.3725,346.2721963,207,393
405,159,240,214.76,338.8878505,213,375
