D1,D2,D3,rX,rY,gX,gY
444.00000000000006,263.0,143.0,139.7125,420.410046728972,,
436.00000000000006,273.0,128.0,121.525,416.934579439252,,
430.0,285.0,112.0,102.835,415.35046728972003,,
424.0,299.0,112.0,84.9383333333333,409.364485981308,,
419.00000000000006,299.0,99.0,79.14,407.64485981308405,,
410.0,311.0,86.0,58.7183333333333,401.738317757009,,
400.0,321.0,80.0,40.605,393.439252336449,,
387.0,329.0,79.0,23.28,381.672897196262,,
376.0,332.0,82.0,13.3833333333333,371.30373831775705,,
365.0,325.0,88.0,15.105833333333301,360.589953271028,,
358.0,314.0,99.0,24.3175,352.27453271027997,,
