D1,D2,D3,rX,rY,gX,gY
173.0,245.00000000000003,454.0,170.335833333333,8.17406542056075,,
187.0,245.00000000000003,463.0,181.41333333333301,4.42056074766355,,
202.0,228.0,470.0,205.12,3.6074766355140198,,
218.00000000000003,228.0,475.0,214.6575,5.9380841121495305,,
235.0,201.0,476.0,241.1725,13.8235981308411,,
251.0,201.0,476.0,247.6525,22.907710280373802,,
265.0,164.0,473.00000000000006,273.808333333333,34.6728971962616,,
277.0,145.0,462.0,280.4425,54.286214953271,,
287.0,145.0,462.0,285.1425,60.875,,
294.0,111.0,446.0,290.93166666666696,82.5981308411215,,
301.0,96.0,437.0,292.955,96.7476635514019,,
