D1,D2,D3,rX,rY,gX,gY
235.0,201.0,476.0,241.1725,13.8235981308411,,
251.0,201.0,476.0,247.6525,22.907710280373802,,
265.0,164.0,473.00000000000006,273.808333333333,34.6728971962616,,
277.0,145.0,462.0,280.4425,54.286214953271,,
287.0,145.0,462.0,285.1425,60.875,,
294.0,111.0,446.0,290.93166666666696,82.5981308411215,,
301.0,96.0,437.0,292.955,96.7476635514019,,
310.0,96.0,437.0,297.5375,103.171728971963,,
317.0,85.0,428.0,298.025833333333,117.393691588785,,
324.0,66.0,419.00000000000006,300.194166666667,131.540887850467,,
332.0,65.0,408.0,297.205,148.29906542056102,,
