D1,D2,D3,rX,rY,gX,gY
440.00000000000006,129.0,309.0,286.839166666667,328.625,,
455.0,144.0,299.0,286.135,351.41121495327104,,
468.0,174.0,283.0,272.474166666667,376.307242990654,,
478.0,174.0,283.0,280.3575,387.358644859813,,
484.0,190.0,273.0,270.8275,400.596962616822,,
486.00000000000006,203.0,261.0,258.589166666667,410.349299065421,,
484.0,215.0,248.0,243.09833333333302,415.81308411214997,,
478.0,225.0,231.0,224.169166666667,418.582943925234,,
470.0,238.0,212.0,200.80333333333303,419.556074766355,,
460.0,245.00000000000003,176.0,175.77833333333302,425.009345794393,,
451.0,253.0,160.0,157.825833333333,421.711448598131,,
