D1,D2,D3,rX,rY,gX,gY
430,284,135,104.16,414.8224299,43,393
434,265,158,134.39833330000002,404.87850469999995,62,405
436,244,182,146.86333330000002,397.37850469999995,87,413
434,200,205,198.99083330000002,384.9474299,113,413
430,200,228,204.41,369.27570089999995,141,411
429,178,247,225.075,357.728972,165,401
430,159,247,236.4625,358.73247660000004,185,387
432,145,263,251.7925,351.21378500000003,203,373
435,135,274,263.5491667,347.3516355,215,365
438,130,280,270.71,346.52803739999996,231,353
439,128,283,272.3008333,347.5525701,255,347
