D1,D2,D3,rX,rY,gX,gY
287,92,403,263.5483333,120.4953271,266,180
298,77,393,266.5025,137.3119159,272,194
312,62,393,277.0941667,147.2885514,280,210
327,47,378,278.1691667,171.99649530000002,294,230
340,37,371,282.4258333,188.25116819999997,274,254
353,37,371,289.9333333,198.7757009,266,270
363,44,350,282.3375,224.828271,260,286
372,56,338,278.97,242.20093459999998,258,296
380,72,338,280.57,249.22897200000003,260,314
388,89,325,267.5658333,275.41939249999996,256,332
397,105,304,263.6525,290.16004669999995,244,344
