D1,D2,D3,rX,rY,gX,gY
278,189,206,113.905,254.7102804,107,215
294,191,197,117.2425,269.6390187,109,231
309,192,197,124.14166670000002,280.20560750000004,113,245
324,195,191,128.17916670000002,294.01752339999996,115,259
338,198,187,132.6775,306.6109813,120,275
352,203,183,136.1525,319.625,125,287
364,208,181,139.2808333,330.5128505,131,301
374,212,179,142.0308333,339.9754673,133,311
381,215,178,144.0025,346.56658880000003,139,327
385,217,179,145.4133333,349.728972,145,337
382,215,180,144.9358333,347.0408879,149,347
