D1,D2,D3,rX,rY,gX,gY
434,142,285,267.1133333,335.7943925,263,349
435,143,290,267.3625,336.8095794,259,365
436,148,287,264.2208333,339.8492991,253,381
440,157,287,262.5658333,343.942757,245,391
446,168,275,255.4175,358.0315421,237,395
452,168,275,259.9075,364.3259346,227,399
456,189,265,245.9391667,374.8773364,195,403
459,189,252,242.6258333,385.9357477,167,405
458,211,235,220.2958333,394.536215,151,405
452,211,214,207.8883333,399.1728972,127,407
445,238,191,174.6883333,402.7196262,103,407
