D1,D2,D3,rX,rY,gX,gY
420,153,277,246.0616667,329.7897196,250,308
418,145,280,249.5683333,326.5280374,252,292
413,135,280,250.7725,321.6740654,254,276
404,121,284,252.4983333,310.4485981,256,266
393,108,290,253.0241667,296.1834112,260,252
386,95,299,257.2958333,283.6203271,264,240
382,95,299,254.7358333,280.0315421,268,228
379,70,322,271.6108333,260.6787383,272,212
376,57,333,278.4791667,249.6156542,274,194
374,57,333,277.2291667,247.8633178,274,180
366,39,345,281.9558333,231.442757,270,166
