D1,D2,D3,rX,rY,gX,gY
233,136,391,216.1408333,97.90771028,214,128
238,133,390,218.145,102.4859813,224,144
245,125,388,223.1058333,108.2535047,232,156
257,115,383,228.9133333,119.7943925,238,166
270,105,378,235.1183333,132.2429907,242,178
285,93,378,246.0158333,141.9684579,250,194
299,83,367,248.9333333,161.0934579,258,208
312,75,360,253.4183333,176.317757,266,220
326,67,360,262.755,186.7523364,272,240
339,59,356,269.2525,200.1974299,270,264
353,56,344,270.9008333,221.328271,266,286
365,60,344,277.3075,231.3936916,260,300
377,70,337,278.5883333,247.364486,252,314
386,86,321,271.3775,267.6857477,242,328
394,105,321,270.5291667,274.9754673,226,342
