D1,D2,D3,rX,rY,gX,gY
329,107,410,284.8758333,144.07126169999998,76,248
337,85,396,286.9525,163.47780369999998,86,268
343,66,384,287.33416669999997,179.17873830000002,88,292
348,53,371,284.6125,194.6810748,88,316
351,45,371,287.6666667,197.1308411,88,334
355,45,346,275.0825,221.37032709999997,88,350
359,51,346,276.5025,224.70677569999998,84,368
362,58,338,272.47333330000004,233.6261682,80,382
364,65,330,267.795,241.56542059999998,74,396
367,69,327,267.08666669999997,246.4299065,66,410
369,68,333,266.2191667,250.4310748,62,418
