D1,D2,D3,rX,rY,gX,gY
415,157,244,225.7258333,345.646028,226,400
398,132,258,232.10666669999998,321.28971960000007,218,384
383,122,264,229.1875,303.9450935,216,362
369,122,264,220.41416669999998,291.646028,214,348
355,111,273,220.2666667,274.1588785,212,336
342,101,294,226.1716667,249.6635514,212,312
330,101,294,219.4516667,240.24299069999998,212,298
319,99,305,219.66,224.2056075,210,286
311,100,314,219.77083330000002,211.80957940000002,210,270
306,103,320,219.355,203.7616822,210,250
299,111,327,217.82,195.046729,208,234
