D1,D2,D3,rX,rY,gX,gY
126,266,430,123.06,16.54205607,65,47
145,251,430,140.27583330000002,22.55724299,81,36
167,239,436,160.1258333,24.50584112,97,31
189,226,445,183.335,24.39252336,119,31
209,215,457,207.0733333,21.04672897,137,35
228,209,486,241.0216667,-1.2009345790000001,153,39
246,207,499,260.1891667,-6.192757009,176,41
261,209,508,272.6925,-7.896028037000001,195,41
272,209,515,283.5458333,-9.412383177999999,211,41
280,212,515,285.1208333,-4.253504673,223,39
286,213,511,288.1016667,-1.4906542059999999,236,35
