D1,D2,D3,rX,rY,gX,gY
496,212,281,269.8183333,409.8130841,238,382
487,206,272,262.2408333,404.6366822,226,374
474,199,265,253.4225,394.4334112,214,362
455,193,259,240.0133333,377.4859813,200,352
438,193,259,227.3625,359.7511682,180,344
420,186,249,214.6808333,347.6436916,162,344
406,182,239,203.4308333,339.8352804,148,346
395,190,224,185.3408333,337.6553738,128,356
387,205,207,164.1466667,338.9065421,110,368
383,205,187,155.0133333,344.5140187,96,374
386,262,143,100.4708333,364.171729,76,400
