D1,D2,D3,rX,rY,gX,gY
470,237,200,197.475,425.33177570000004,254,364
466,237,180,188.0216667,429.83644860000004,242,380
461,269,161,151.77333330000002,431.99065419999994,224,396
455,269,142,142.39583330000002,432.2955607,208,404
446,283,123,118.5625,428.7044393,194,410
436,294,123,100.63416670000001,418.40070089999995,176,416
428,308,90,74.97,418.5373832,158,416
420,316,90,60.99666667,410.6121495,140,414
414,324,79,46.74416667,406.9380841,124,410
412,329,71,38.92583333,406.41004669999995,106,406
411,335,64,31.02916667,406.2488318,90,404
