D1,D2,D3,rX,rY,gX,gY
290,187,243,134.6825,243.2651869,113,293
281,184,259,138.9483333,227.87850469999998,117,285
268,183,273,127.40583329999998,210.83995330000002,123,273
253,188,285,135.795,193.88785049999998,129,261
237,195,285,124.79333329999999,184.728972,135,245
220,204,300,116.67666670000001,169.5654206,133,227
204,212,306,111.47666670000001,153.228972,129,213
192,218,309,104.7541667,145.52219630000002,117,191
183,223,309,98.26666667,141.57943930000002,109,179
178,225,310,95.785,138.74766359999998,101,169
175,224,313,96.6875,136.057243,95,161
