D1,D2,D3,rX,rY,gX,gY
441,139,298,277.0466667,338.1495327,268,378
445,146,293,274.7083333,345.046729,266,394
452,158,287,270.9608333,356.4474299,256,410
462,171,287,271.4491667,367.125,236,412
469,186,281,265.115,378.7196262,223,411
474,200,268,254.09,392.5654206,209,409
475,209,253,242.2333333,402.8037383,190,404
469,215,238,227.1358333,404.7908879,168,404
459,222,222,208.1708333,402.5478972,154,404
451,230,202,189.0108333,403.9497664,132,402
442,241,167,162.9158333,409.6483645,106,404
