D1,D2,D3,rX,rY,gX,gY
422,109,307,280.8158333,311.9380841,254,398
409,109,317,277.0133333,292.02803739999996,258,372
398,91,325,279.8958333,275.6577103,256,352
387,60,334,285.4441667,258.6413551,258,326
378,60,334,279.70666669999997,250.5981308,260,306
367,49,342,279.3825,234.70677569999998,262,292
358,44,354,281.68,217.3271028,264,276
352,43,354,278.275,212.3504673,266,258
347,43,359,278.3333333,204.10280369999998,266,240
344,47,361,277.2058333,199.99883180000003,266,224
349,42,363,282.0608333,201.5058411,266,210
