D1,D2,D3,rX,rY,gX,gY
124,253,357,86.0125,83.07359813,96,28
133,253,357,87.94,85.77570093,86,50
145,245,334,84.11583333,108.23948600000001,78,68
160,236,285,69.8675,149.01752340000002,72,84
179,226,265,73.76833333,169.39252340000002,70,104
199,215,265,88.15333333,178.2242991,68,130
222,203,252,98.98166667,197.38785049999998,70,148
244,192,241,110.2475,215.6997664,78,172
261,176,242,127.6175,225.1647196,86,190
274,176,242,133.41333329999998,233.2897196,96,206
282,172,245,140.6575,236.77920559999998,106,220
