D1,D2,D3,rX,rY,gX,gY
410,244,170,132.5816667,376.6168224,90,364
422,238,184,155.8833333,382.4906542,108,362
432,231,184,168.4716667,392.4672897,126,372
439,221,198,185.5425,393.3422897,142,384
441,208,215,202.155,387.19626170000004,156,396
440,194,256,226.89333330000002,363.60747660000004,174,400
436,177,272,241.525,349.6448598,192,402
431,160,285,253.495,336.12149530000005,212,392
426,147,285,256.5758333,331.1156542,226,380
422,137,294,262.825,321.06542060000004,234,368
419,131,301,266.3725,313.9544393,244,358
