D1,D2,D3,rX,rY,gX,gY
454,227,166,182.51833330000002,422.59813080000004,252,367
451,245,138,159.0025,429.37032710000005,235,389
447,265,115,134.16,431.97196260000004,209,403
440,283,97,109.36583329999999,429.1764018999999,187,407
431,302,89,83.06833333,421.75700930000005,157,408
415,302,88,71.64083333,406.15070089999995,135,415
398,299,98,64.67833333,387.8317757,111,420
383,286,98,67.59083333,374.146028,85,417
369,275,108,70.81916667,359.44042060000004,67,402
360,266,117,75.15416667,349.41004669999995,61,383
357,260,125,79.82166667,345.21495330000005,69,365
