D1,D2,D3,rX,rY,gX,gY
255,217,206,84.7425,240.38901869999998,84,211
270,225,191,80.44916667,256.5455607,86,223
288,237,172,73.83166667,276.3364486,86,227
307,252,154,66.1375,296.3983645,86,233
321,266,135,56.80166667,313.0841121,90,255
335,279,135,52.64666667,323.8130841,86,277
348,288,118,47.95666667,339.21028039999993,80,291
358,295,105,44.6225,350.8446262,72,307
367,301,97,42.75333333,360.3551402,66,323
378,305,91,44.6025,371.24649530000005,60,337
381,307,93,44.30916667,374.11799069999995,60,353
