D1,D2,D3,rX,rY,gX,gY
441,139,283,270.28,347.635514,276,374
447,145,282,271.4091667,354.5198598,272,398
455,156,282,271.9041667,362.9497664,254,412
465,169,278,270.6625,376.3142523,236,412
472,169,278,276.1283333,383.9766355,224,412
475,197,268,256.8658333,393.6740654,210,408
476,207,256,245.685,402.1308411,192,406
470,214,241,229.8308333,404.2091121,172,404
461,221,223,210.8133333,404.1775701,154,404
453,229,204,191.9591667,405.1133178,130,398
444,239,186,171.5816667,403.8831776,112,392
