D1,D2,D3,rX,rY,gX,gY
314,220,201,108.8375,281.9848131,114,329
297,218,216,106.85416670000001,262.5432243,109,317
281,215,235,108.45333329999998,241.72897200000003,105,299
265,213,251,109.08,222.4392523,101,289
248,213,268,109.165,201.9439252,97,273
232,216,268,100.62,192.97196259999998,99,251
216,220,283,98.6275,174.942757,101,237
201,227,295,93.98,159.53271030000002,103,225
188,232,301,88.92083333,149.4474299,103,207
180,236,305,85.3675,143.1764019,97,190
175,239,307,82.53333333,139.6728972,91,175
