D1,D2,D3,rX,rY,gX,gY
351,257,145,83.78,333.364486,92,375
334,249,162,85.17166667,313.6635514,90,361
314,244,196,88.62333333,284.30373829999996,88,343
293,240,213,87.02166667,261.2897196,88,327
272,238,213,78.7275,247.4287383,86,307
250,238,248,82.60333333,215.1635514,86,293
227,244,263,75.02833333,193.39252340000002,82,267
208,244,263,68.14083333,183.73714950000002,78,247
195,246,277,68.44166667,168.78504669999998,76,225
184,246,287,69.6675,157.32593459999998,74,211
180,248,286,69.22,152.24299069999998,72,193
