D1,D2,D3,rX,rY,gX,gY
196,231,297,90.25916667,155.83060749999999,120,216
173,243,330,90.94916667,121.74415890000002,108,200
152,254,330,76.15,113.771028,94,184
134,265,345,70.7825,95.92873832,86,168
118,273,379,80.7625,62.461448600000004,82,152
109,279,397,85.18,43.75700935,70,114
113,274,421,106.88833329999999,21.85981308,70,102
120,267,421,114.55916670000002,23.76518692,72,84
129,261,431,128.80666670000002,16.42990654,78,72
137,255,428,133.5925,21.92640187,88,60
140,251,423,134.8183333,26.87850467,102,50
