D1,D2,D3,rX,rY,gX,gY
445,204,196,201.3475,400.4591121,244,353
436,219,173,177.0925,401.1109813,251,375
420,233,152,149.445,393.0841121,239,391
407,248,134,124.17083329999998,386.5385514,215,398
395,263,121,100.6133333,379.1682243,191,391
384,279,112,77.27166667,371.60747660000004,168,382
375,293,112,58.2325,363.62733639999993,145,373
369,306,104,40.09416667,360.43107480000003,119,361
364,313,102,29.475,356.63084110000005,97,357
362,318,102,23.00666667,354.93457939999996,77,354
360,322,97,16.2925,353.4848131,41,347
