D1,D2,D3,rX,rY,gX,gY
336,91,317,237.6925,228.4941589,216,302
325,82,334,243.4508333,207.07126169999998,220,286
317,79,334,239.9758333,201.07126169999998,222,266
310,78,351,246.2841667,182.33995330000002,222,246
305,81,368,253.1125,164.4684579,224,224
299,88,396,265.9475,135.2441589,234,206
293,94,403,265.8283333,124.5607477,242,192
287,99,403,261.32,120.4953271,250,168
283,105,401,256.04,119.7102804,250,152
279,108,399,251.76833330000002,118.953271,246,138
276,108,391,247.7341667,120.71845790000002,246,126
