D1,D2,D3,rX,rY,gX,gY
455,214,196,201.8808333,410.97313080000004,248,361
450,242,177,170.9241667,413.9661215,234,377
445,242,156,161.3675,416.9077103,220,387
439,258,138,139.2041667,416.8936916,202,390
430,271,122,117.75833329999999,412.6168224,184,394
420,280,122,102.41,402.6869159,164,396
408,285,113,87.65916667,393.5502336,150,399
393,284,111,78.22166667,380.0373832,134,402
379,277,114,76.3225,366.62266360000007,114,402
369,271,117,76.14666667,357.0747664,98,398
361,263,125,76.955,348.5700935,86,387
