D1,D2,D3,rX,rY,gX,gY
467,233,200,198.2658333,422.0478972,218,382
462,245,164,173.915,431.9299065,228,394
457,255,146,157.1025,433.08060750000004,206,406
452,267,131,139.4125,432.625,194,408
443,280,115,117.56833329999999,427.8130841,176,410
439,293,102,99.8625,426.9871495,154,412
433,306,92,80.9075,423.1413551,142,412
427,317,92,65.18583333,417.1133178,126,412
422,326,83,50.69083333,413.99415889999995,112,412
420,331,75,42.75916667,413.50350469999995,96,410
418,334,70,37.55083333,412.2278037,80,410
