D1,D2,D3,rX,rY,gX,gY
413,129,280,253.4125,321.67406539999996,246,272
426,129,280,262.5016667,334.4158879,252,292
435,144,259,252.7016667,356.69158880000003,254,308
445,160,249,247.695,372.9065421,252,324
454,176,239,249.54416669999998,388.05957939999996,248,340
463,192,230,234.9575,402.63200930000005,244,356
471,205,223,229.94,415.06542060000004,236,368
476,216,223,226.1675,420.59696260000004,228,382
478,223,220,221.5283333,424.3785047,220,394
480,230,218,217.11,427.6401869,214,402
479,213,239,223.0675,421.30957939999996,208,414
