D1,D2,D3,rX,rY,gX,gY
371,51,353,287.88,229.2242991,274,300
359,43,353,281.8333333,218.9906542,276,284
349,42,367,284.475,198.9439252,276,264
342,47,379,287.1625,182.8352804,276,244
335,53,399,295.18,159.12149530000002,274,226
328,61,409,296.5258333,144.260514,274,210
322,72,418,297.04,131.00934579999998,274,194
315,78,418,291.8241667,125.80023359999998,274,178
309,84,424,291.2941667,115.52453270000001,274,170
304,90,430,291.27,105.9579439,276,156
299,95,435,290.09583330000004,98.39836449,276,142
