D1,D2,D3,rX,rY,gX,gY
397,225,178,147.0425,361.10864489999994,110,392
402,213,209,169.12916669999998,351.760514,122,378
414,206,220,186.11,357.6869159,134,364
429,204,231,202.14833330000002,366.6635514,154,354
442,202,240,216.47,374.9392523,174,358
453,198,251,231.8416667,380.13084110000005,186,370
456,186,263,246.9341667,376.1109813,202,386
454,172,271,257.3308333,368.99415889999995,214,400
449,159,271,260.74,363.7196262,232,402
443,150,274,262.2775,355.557243,248,392
439,142,276,264.1475,350.15070089999995,260,376
