D1,D2,D3,rX,rY,gX,gY
456,168,294,271.9433333,355.9392523,218,422
442,147,303,276.9691667,334.9754673,236,416
428,127,303,275.9525,320.74649530000005,252,398
414,105,321,283.9958333,293.853972,260,376
398,85,329,283.8358333,272.6016355,264,354
384,68,329,279.0475,259.8119159,266,332
370,59,339,277.7225,239.67640189999997,266,312
359,53,346,276.1558333,224.70677569999998,266,290
350,53,352,274.3283333,212.3598131,264,270
343,56,357,272.695,202.5514019,262,250
344,55,351,273.4525,203.353972,262,232
