D1,D2,D3,rX,rY,gX,gY
435,245,158,152.1225,405.8936916,106,393
443,235,175,170.6933333,407.4859813,118,394
453,226,193,190.595,410.21495330000005,138,398
462,218,213,210.1441667,410.34929910000005,158,400
468,208,233,229.3275,406.4474299,177,402
470,195,267,253.78916669999998,388.7792056,196,406
466,180,280,265.97,376.09813080000004,212,408
460,165,280,269.965,369.60747660000004,228,408
453,156,286,272.2841667,358.17406539999996,248,402
450,154,284,270.11,356.3411215,265,386
449,159,271,263.9425,359.2301402,272,368
