D1,D2,D3,rX,rY,gX,gY
384,59,323,277.6925,264.38200930000005,268,196
396,74,314,277.39,282.0140187,266,218
406,89,305,275.35583330000003,297.89135510000006,266,236
418,117,297,269.9691667,315.06892519999997,264,252
430,117,297,278.4491667,326.9567757,264,270
440,136,278,268.5833333,349.8831776,264,288
451,154,266,262.6108333,368.9591121,260,312
459,175,250,250.2825,387.10864489999994,258,332
465,196,250,241.9175,393.58528039999993,256,352
469,213,236,227.7725,405.8983645,256,370
472,234,213,205.8741667,421.26051399999994,242,400
