D1,D2,D3,rX,rY,gX,gY
357,89,302,242.6825,256.3422897,250,312
340,88,317,236.6675,237.50350469999998,248,294
322,90,317,230.3175,217.73247659999998,244,278
306,96,326,224.9066667,199.2336449,236,258
293,102,336,221.9541667,182.40303740000002,228,242
283,112,362,228.71083330000002,154.4731308,220,226
276,112,362,225.45,149.9018692,214,206
272,117,375,229.69916669999998,136.1483645,212,184
269,119,385,233.89333330000002,125.37383179999999,216,170
267,121,393,237.38666669999998,116.85046729999999,218,160
265,122,401,239.3908333,110.98714950000002,224,146
