D1,D2,D3,rX,rY,gX,gY
416,183,212,200.235,362.6682243,220,350
414,180,220,202.8366667,357.6869159,234,348
415,176,231,210.035,352.8598131,248,342
416,169,243,219.4925,347.1857477,264,332
420,157,257,234.6325,342.91471960000007,272,318
422,157,257,236.0358333,344.88200930000005,278,298
421,124,274,258.3108333,333.3516355,278,282
417,107,288,268.6191667,320.24415889999995,278,266
410,107,299,269.1758333,305.9380841,278,252
400,79,309,276.1725,289.37266360000007,278,244
389,68,325,280.0883333,267.3831776,276,232
