D1,D2,D3,rX,rY,gX,gY
400,79,309,276.1725,289.37266360000007,278,244
389,68,325,280.0883333,267.3831776,276,232
381,57,325,284.9116667,260.1869159,274,212
372,47,332,277.165,246.8971963,272,198
365,37,338,277.6158333,236.17406540000002,270,182
357,34,345,277.1416667,223.84112149999999,266,162
346,39,360,278.90166669999996,202.453271,264,148
338,50,369,278.1775,188.396028,260,142
326,63,369,274.6916667,171.2336449,248,130
311,77,386,268.5558333,152.9310748,238,126
298,92,393,262.2775,137.3119159,230,124
