D1,D2,D3,rX,rY,gX,gY
422,157,257,236.0358333,344.88200930000005,278,298
421,124,274,258.3108333,333.3516355,278,282
417,107,288,268.6191667,320.24415889999995,278,266
410,107,299,269.1758333,305.9380841,278,252
400,79,309,276.1725,289.37266360000007,278,244
389,68,325,280.0883333,267.3831776,276,232
381,57,325,284.9116667,260.1869159,274,212
372,47,332,277.165,246.8971963,272,198
365,37,338,277.6158333,236.17406540000002,270,182
357,34,345,277.1416667,223.84112149999999,266,162
346,39,360,278.90166669999996,202.453271,264,148
