D1,D2,D3,rX,rY,gX,gY
324,218,195,113.63416670000001,292.21378500000003,85,351
311,205,215,122.75333329999998,272.9906542,97,333
298,197,215,121.51583329999998,263.7418224,105,319
284,194,251,130.66083329999998,234.625,115,303
267,198,251,120.24166670000001,223.68224300000003,121,287
249,207,266,112.88916670000002,203.77219630000002,127,267
229,217,277,102.83333329999999,185.62616819999997,127,247
208,225,291,95.91916667,165.6156542,121,231
191,232,303,90.875,149.364486,113,217
178,235,311,88.63583333,138.02219630000002,102,201
171,236,322,89.48416667,130.0245327,95,181
