D1,D2,D3,rX,rY,gX,gY
313,214,202,112.99083329999999,280.7815421,135,327
295,217,211,104.8133333,263.6542056,134,311
276,220,222,97.55666667,245.41588790000003,127,293
257,218,234,95.1375,227.19275699999997,115,279
240,213,245,96.07916667,211.16705609999997,103,265
224,198,281,115.9475,180.37266359999998,91,247
213,198,281,111.94166670000001,174.75700930000002,91,235
206,189,296,122.515,161.2196262,91,219
204,180,309,133.9208333,151.0735981,93,205
202,173,320,143.1283333,142.0420561,103,189
204,168,317,146.6466667,142.9906542,115,177
