D1,D2,D3,rX,rY,gX,gY
267,257,205,56.82083333,248.6647196,62,234
269,258,204,57.71416667,249.9170561,78,224
264,244,207,68.23416667,245.3633178,106,194
257,244,214,67.65083333,237.6600467,116,172
246,232,227,77.3375,224.4988318,120,156
233,217,245,90.45333333,207.2990654,126,136
221,193,265,110.8133333,189.0186916,132,112
208,193,287,116.2858333,168.3165888,132,90
198,191,309,125.1091667,148.2558411,130,70
189,197,347,139.1,115.0654206,128,50
179,209,347,127.9133333,110.7663551,118,34
