D1,D2,D3,rX,rY,gX,gY
335,93,314,234.9425,229.921729,218,294
327,86,324,237.9341667,216.2815421,218,282
320,79,333,241.0125,204.0829439,220,264
314,79,342,242.905,192.5420561,222,246
311,79,353,247.71333330000002,181.42056069999998,224,230
310,80,366,254.72,169.7757009,232,204
312,82,378,262.6566667,160.79906540000002,236,192
315,85,390,271.0691667,152.23014019999997,242,180
318,87,399,277.9958333,146.15303740000002,248,170
319,88,406,282.9308333,140.3142523,256,162
320,88,409,285.5008333,138.20443930000002,266,152
