D1,D2,D3,rX,rY,gX,gY
435.0,124.0,313.0,287.375,320.607476635514,,
450.0,155.0,305.0,275.889166666667,347.517523364486,,
463.0,170.0,289.0,273.748333333333,366.85981308411203,,
477.0,185.0,281.0,272.04,387.560747663551,,
484.0,200.0,281.0,268.02083333333303,395.419392523364,,
489.0,211.0,257.0,253.78,416.18691588785003,,
488.0,221.0,241.0,239.12583333333302,424.35397196261704,,
483.0,230.0,241.0,228.315,418.682242990654,,
474.0,230.0,223.0,214.1775,418.37733644859804,,
466.0,243.00000000000003,185.0,184.7425,427.704439252336,,
457.0,251.0,168.0,166.2325,425.010514018692,,
