D1,D2,D3,rX,rY,gX,gY
336.0,252.0,157.0,82.4541666666667,317.092289719626,,
327.0,238.0,176.0,94.1875,302.730140186916,,
314.0,224.00000000000003,176.0,108.478333333333,292.99532710280397,,
297.0,214.0,193.0,113.31333333333299,273.532710280374,,
277.0,214.0,210.0,98.0375,252.117990654206,,
257.0,205.0,224.00000000000003,100.48583333333299,232.54322429906503,,
236.0,207.0,246.0,99.1016666666667,208.36915887850498,,
217.0,207.0,246.0,91.9291666666667,198.31425233644902,,
198.0,224.00000000000003,266.0,81.68,177.140186915888,,
180.0,235.0,266.0,67.595,169.191588785047,,
161.0,244.0,296.0,69.0608333333333,141.92640186915898,,
