D1,D2,D3,rX,rY,gX,gY
455.0,250.0,168.0,165.5475,422.879672897196,,
448.00000000000006,259.0,152.0,148.378333333333,421.476635514019,,
442.0,259.0,152.0,143.928333333333,415.238317757009,,
436.00000000000006,280.0,136.0,116.833333333333,414.467289719626,,
430.0,294.0,105.0,92.8841666666667,417.125,,
426.0,307.0,92.0,74.875,416.116822429907,,
420.0,307.0,92.0,70.645,410.18691588785003,,
413.0,319.0,81.0,51.68,405.59813084112096,,
402.0,330.0,75.0,31.5308333333333,396.21845794392505,,
390.0,338.0,79.0,15.2175,384.39602803738296,,
378.0,332.0,86.0,15.2,372.280373831776,,
