D1,D2,D3,rX,rY,gX,gY
180.0,235.0,266.0,67.595,169.191588785047,,
161.0,244.0,296.0,69.0608333333333,141.92640186915898,,
145.0,252.0,313.0,66.995,124.11214953270999,,
130.0,260.0,330.0,65.84,106.523364485981,,
121.0,266.0,348.0,68.8675,89.6273364485981,,
111.0,269.0,365.0,74.36,72.75700934579442,,
107.0,271.0,383.0,83.0533333333333,56.0093457943925,,
110.0,271.0,400.0,94.6883333333333,41.219626168224295,,
118.0,271.0,400.0,96.2083333333333,43.3504672897196,,
126.0,269.0,416.0,110.515,30.3785046728972,,
142.0,266.0,430.0,126.633333333333,21.551401869158898,,
