D1,D2,D3,rX,rY,gX,gY
184.0,241.0,470.0,189.168333333333,-4.5093457943925195,,
200.0,241.0,470.0,194.28833333333301,2.66822429906542,,
216.0,232.0,474.0,210.076666666667,6.03271028037383,,
232.0,204.0,476.0,237.98,12.1869158878505,,
249.00000000000003,186.0,472.0,253.334166666667,26.1693925233645,,
264.0,165.0,467.0,268.11916666666696,40.643691588784996,,
276.0,146.0,461.00000000000006,278.7275,54.7184579439251,,
287.0,146.0,461.00000000000006,283.88833333333304,61.9532710280373,,
295.0,127.0,453.0,290.32,75.9345794392523,,
303.0,108.0,445.0,295.761666666667,89.9158878504673,,
311.0,93.0,435.0,297.54666666666697,105.93457943925199,,
