D1,D2,D3,rX,rY,gX,gY
328,240,172,91.98,305.12149530000005,86,361
311,240,193,89.315,283.4766355,72,343
294,237,214,90.25166667,261.4766355,74,327
276,237,235,89.55916667,238.4754673,82,307
258,242,235,77.5575,227.24649530000002,96,289
238,247,252,72.115,205.98598130000002,94,267
217,253,286,74.39583333,173.45443930000002,86,249
199,259,286,63.03583333,164.7067757,80,233
185,262,297,61.295,150.9345794,72,215
176,266,297,55.0675,147.13901869999998,66,201
174,263,291,57.625,145.62616819999997,58,183
