D1,D2,D3,rX,rY,gX,gY
456,220,211,203.3875,404.9053738,255,363
454,241,186,177.465,414.3738318,246,377
449,263,160,147.7258333,419.6086449,230,389
443,281,113,120.35333329999999,422.59813080000004,201,403
435,292,99,97.42166667,423.6074766,181,411
418,299,94,77.63833333,407.79439249999996,157,415
401,297,97,68.5,390.8598131,127,417
385,288,97,66.795,376.1682243,103,416
370,278,106,68.31333333,360.80373829999996,83,410
359,269,113,71.11333333,349.6448598,69,393
355,263,120,75.4125,344.40303739999996,69,373
