D1,D2,D3,rX,rY,gX,gY
279,175,232,132.3525,242.05724300000003,115,211
295,180,222,133.2641667,258.08995330000005,123,219
310,189,199,127.2225,280.00350469999995,131,234
325,201,199,127.36,291.13084110000005,135,251
337,215,165,113.96,314.86915889999995,135,267
349,231,165,108.92666670000001,324.4859813,133,281
358,244,149,99.75083333,337.7885514,129,295
365,257,136,90.02583333,348.0292056,123,307
369,266,125,82.235,354.8130841,115,317
371,270,120,78.87416667,357.97313080000004,101,331
370,272,119,77.15583333,357.3866822,85,345
