D1,D2,D3,rX,rY,gX,gY
346,248,145,88.45083333,329.2932243,112,305
342,219,177,117.3158333,314.0408879,139,277
334,207,177,121.3291667,307.7231308,145,259
325,193,193,130.6533333,293.8785047,145,249
312,181,209,136.5925,276.6904206,139,235
296,172,221,138.0808333,259.2978972,127,221
281,166,232,138.4008333,243.3656542,119,210
267,165,240,135.7058333,229.9918224,111,197
251,170,247,128.8483333,216.3271028,103,183
235,177,253,120.82,203.7383178,97,171
220,177,259,112.2475,192.1764019,93,159
