D1,D2,D3,rX,rY,gX,gY
123,256,364,87.4675,76.88901869,82,40
136,245,338,84.24833333,102.1448598,72,60
153,232,313,85.115,126.8971963,68,78
172,219,269,87.9925,150.989486,66,96
194,209,251,84.73583333,184.36799069999998,72,126
213,201,237,90.95333333,201.38317759999998,78,144
229,195,226,96.5625,215.59462620000002,86,162
245,193,226,104.1758333,224.45443930000002,96,186
256,193,220,106.53833329999999,234.01869159999998,102,204
263,192,217,109.115,239.7943925,104,218
269,192,215,111.41416670000001,244.02920559999998,106,226
