D1,D2,D3,rX,rY,gX,gY
441,138,298,277.5083333,338.1495327,268,378
445,145,294,275.6825,344.3609813,259,394
453,156,288,273.2408333,356.8329439,246,404
460,168,288,272.0866667,364.2990654,230,406
467,182,264,258.2875,387.3563084,216,408
471,197,264,251.9391667,391.739486,202,406
469,206,247,237.0883333,399.6915888,188,404
463,213,230,220.7825,402.6320093,168,400
454,221,198,196.705,408.9906542,156,400
447,228,183,181.4483333,408.2990654,136,400
440,237,183,169.2991667,401.0455607,118,399
