D1,D2,D3,rX,rY,gX,gY
441,309,81,82.07333333,433.5327103,78,386
430,304,83,79.47083333,421.9567757,94,382
423,295,87,84.04666667,414.1869159,108,380
417,288,95,87.86166667,406.5981308,128,380
410,279,108,93.74166667,396.7523364,150,384
415,255,123,121.4266667,397.5233645,190,384
423,255,140,130.7391667,400.1320093,210,384
432,233,181,166.0125,393.7464953,228,386
442,222,201,188.0041667,395.0315421,246,374
449,207,222,211.3291667,391.9404206,248,358
452,193,222,222.915,395.0981308,250,344
